PULocationID,avg_distance,long_trip_ratio,avg_tip_pct,num_trips
1,13.033333333333333,66.66666666666666,32.76643990929705,3
3,44684.1,100.0,0.0,1
4,25.534999999999997,100.0,0.0,2
7,7.953333333333333,33.33333333333333,0.0,3
9,10.996666666666668,33.33333333333333,4.285714285714286,3
10,9.6075,50.0,4.974271012006861,4
12,2.4,0.0,39.16083916083916,2
13,10371.557499999999,75.0,3.259095149253731,4
14,33780.21,100.0,0.0,2
22,1.7,0.0,0.0,1
24,57752.75,100.0,0.0,2
25,19652.673333333336,33.33333333333333,0.0,3
26,18257.105,50.0,0.0,2
27,3.2,0.0,16.666666666666664,1
28,105519.62,100.0,0.0,1
33,29746.212499999998,50.0,0.0,4
35,16.54,100.0,0.0,1
37,16.756666666666664,50.0,1.3888888888888886,6
38,1.76,0.0,0.0,1
39,23839.583333333332,66.66666666666666,0.0,3
41,38782.30833333333,100.0,1.4652014652014653,6
42,41689.093,60.0,1.6599190283400809,10
43,11790.039999999999,33.33333333333333,2.2222222222222223,6
45,1.7,0.0,0.0,1
47,8.75,0.0,0.0,1
48,11567.061599999999,32.0,8.288944246469285,25
49,4.133333333333334,0.0,28.16901408450704,3
50,40575.448,80.0,3.3333333333333335,5
51,2.93,0.0,0.0,1
52,111085.845,50.0,0.0,2
54,0.89,0.0,0.0,1
55,2.0,0.0,0.0,1
56,8.305,0.0,0.0,2
61,3730.1733333333336,33.33333333333333,0.0,3
62,7.74,50.0,1.951219512195122,2
63,19130.895,75.0,0.0,4
64,5.25,0.0,0.0,1
65,9.84,0.0,0.0,1
68,4841.1323529411775,52.94117647058824,7.249321219713435,17
69,3.595,0.0,0.0,2
70,7.912727272727272,27.27272727272727,1.1859698394285365,11
71,1.545,0.0,0.0,2
72,14922.133333333333,100.0,0.0,3
74,23253.907272727272,54.54545454545454,2.6424242424242426,11
75,55.324285714285715,28.57142857142857,0.0,14
76,18.246666666666666,66.66666666666666,0.0,3
78,2.53,0.0,0.0,1
79,24303.342857142856,42.857142857142854,11.840960626674912,7
80,14490.488000000001,20.0,3.333333333333333,5
82,0.32,0.0,16.668237067747103,1
83,10.9,100.0,0.0,1
85,51.855000000000004,25.0,0.0,4
87,5.708333333333333,16.666666666666664,3.3336354572645694,6
88,7.2,0.0,0.0,1
89,16.0,50.0,0.0,2
90,16631.56,33.33333333333333,4.482807615799943,6
91,2.61,0.0,0.0,1
92,13.22,100.0,0.0,1
93,3.1449999999999996,25.0,6.351351351351351,4
94,79051.56,100.0,0.0,1
95,4.22,0.0,0.0,1
97,3.42,0.0,0.0,2
98,40.5,100.0,0.0,1
100,15708.076874999999,31.25,3.3333333333333335,16
107,664.79,25.0,5.029724655819775,8
112,2.4,0.0,51.19453924914675,1
113,19532.32,28.57142857142857,2.3809523809523805,7
114,435.39375,12.5,8.079263721563535,8
116,4.953333333333334,33.33333333333333,0.0,3
121,1.52,0.0,0.0,1
122,50.8,100.0,0.0,1
123,5.31,0.0,0.0,2
125,39746.0325,75.0,0.0,4
129,11606.19375,12.5,9.664060099896277,8
130,10.67,50.0,0.0,4
131,28662.433333333334,100.0,0.0,3
132,80.98910714285714,28.57142857142857,5.5366641776570935,56
133,114364.71,100.0,0.0,1
134,1.93,0.0,12.192552578892291,6
137,5.36875,0.0,3.681096847552033,8
138,16.926363636363636,45.45454545454545,14.94948116699474,11
139,25.64,50.0,0.0,2
140,10102.653124999999,37.5,0.3174603174603175,16
141,11090.333636363635,45.45454545454545,5.35202613514813,11
142,3751.456666666667,33.33333333333333,9.01703391154868,18
143,6.669999999999999,16.666666666666664,7.545605306799335,6
144,11.037142857142857,42.857142857142854,7.394957983193279,7
145,4.408636363636364,18.181818181818183,0.0,44
146,31211.588,40.0,5.391471273824214,5
148,8394.532727272728,54.54545454545454,1.9900826446280993,11
150,6.57,0.0,,1
151,36560.645,50.0,0.0,2
152,54645.973333333335,66.66666666666666,0.0,3
155,43109.99,50.0,0.0,2
157,27.7,100.0,0.0,1
158,20768.84,100.0,5.083279255894441,3
159,57.1,100.0,0.0,1
161,14557.045789473685,36.84210526315789,2.629246158459754,19
162,81.12875,12.5,3.2966250805123556,16
163,9.346666666666668,33.33333333333333,4.901960784313726,9
164,7473.965833333335,25.0,2.7583527583527583,12
165,3.5,0.0,0.0,1
166,36280.840000000004,40.0,2.0408163265306123,5
168,24370.51,33.33333333333333,0.0,3
170,15440.992857142857,35.714285714285715,3.098325157511347,14
171,6.885,50.0,0.0,2
174,77622.46,100.0,0.0,1
177,28160.715,50.0,0.0,2
179,38491.315,50.0,0.0,2
181,19.033333333333335,100.0,0.0,3
182,49608.92,100.0,0.0,1
185,1.98,0.0,0.0,2
186,13853.184615384615,15.384615384615385,1.7412935323383083,13
188,1244.5525,50.0,0.0,4
190,10.08,100.0,0.0,1
191,2.21,0.0,0.0,2
193,5.627777777777777,22.22222222222222,0.0,9
196,7.21,0.0,0.0,1
197,17.124285714285712,42.857142857142854,9.092021051078406,7
198,9.88,0.0,0.0,1
203,18.78,100.0,0.0,1
209,2.77,0.0,0.0,1
210,1.64,0.0,0.0,1
211,23.8,25.0,4.166666666666667,4
212,52224.58500000001,50.0,39.21568627450981,2
215,2.935,0.0,0.0,2
216,4.725714285714285,28.57142857142857,6.063342500690376,7
217,7.03,66.66666666666666,3.663003663003663,3
219,8.5,0.0,0.0,1
222,2.85,0.0,0.0,1
223,11.15,100.0,0.5183788878416589,2
224,100016.01750000002,75.0,0.0,4
225,11.975,25.0,0.0,4
226,4.57,0.0,0.0,1
228,101607.42,100.0,0.0,1
229,255.85625000000002,25.0,10.930777018476336,8
230,6.746363636363637,18.181818181818183,4.275869836123389,22
231,5185.995384615385,30.76923076923077,5.6065824722541135,13
232,33852.676666666666,66.66666666666666,0.5295155912924103,9
233,3.7800000000000002,0.0,14.625189290636957,5
234,16651.013333333332,41.66666666666667,9.36471401831112,12
236,10840.206666666667,33.33333333333333,7.340575611595447,9
237,161.6783333333333,41.66666666666667,5.109298542259115,12
238,19612.82909090909,54.54545454545454,5.378981222118477,11
239,17215.81875,43.75,5.838729609635993,16
241,10.28,100.0,0.0,1
242,40521.04,33.33333333333333,0.0,3
244,12116.006666666666,33.33333333333333,20.15713397286849,6
246,29030.474444444444,44.44444444444444,0.0,9
247,124342.08,100.0,0.0,2
248,8.36,0.0,0.0,1
249,4.0675,16.666666666666664,13.202121825651993,12
250,0.42,0.0,0.0,1
254,37.55,100.0,0.0,2
255,107806.31,100.0,0.0,1
256,27337.91,100.0,0.0,2
257,6.3,0.0,16.666666666666664,1
259,35347.850000000006,50.0,0.0,2
260,2.32,0.0,22.0400819631166,2
261,33512.6625,50.0,0.0,4
262,49919.21375,62.5,4.921497584541063,8
263,14746.027142857143,50.0,3.338613671274962,14
264,2.4099999999999997,8.333333333333332,11.34365636803218,12
265,1619.6919047619047,38.095238095238095,6.100274516692629,21
