VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_hour,pickup_date,weekday,is_weekend,trip_duration_min,trip_speed_mph,tip_pct,long_trip,high_tip,revenue_per_mile
2,2025-01-25 23:54:00,2025-01-26 00:03:00,0.0,21.58,0.0,Unknown,148,79,0,14.35,0.0,0.5,0.0,0.0,1.0,19.1,0.0,0.0,0.75,23,2025-01-25,5,True,9.0,80.0,0.0,True,False,0.8850787766450419
2,2025-01-26 04:19:00,2025-01-26 04:24:00,0.0,11.98,0.0,Unknown,232,107,0,8.02,0.0,0.5,0.0,0.0,1.0,12.77,0.0,0.0,0.75,4,2025-01-26,6,True,5.0,80.0,0.0,True,False,1.0659432387312187
1,2025-01-26 09:53:59,2025-01-26 10:00:46,0.0,15.9,0.0,Unknown,238,239,0,6.99,0.0,0.5,0.0,0.0,1.0,10.99,0.0,0.0,0.0,9,2025-01-26,6,True,6.783333333333333,80.0,0.0,True,False,0.6911949685534591
1,2025-01-28 06:34:02,2025-01-28 06:36:55,0.0,13.1,0.0,Unknown,263,236,0,4.8,0.0,0.5,0.0,0.0,1.0,8.8,0.0,0.0,0.0,6,2025-01-28,1,False,2.8833333333333333,80.0,0.0,True,False,0.6717557251908398
1,2025-01-28 07:38:53,2025-01-28 07:44:47,0.0,19.2,0.0,Unknown,236,141,0,8.27,0.0,0.5,0.0,0.0,1.0,12.27,0.0,0.0,0.0,7,2025-01-28,1,False,5.9,80.0,0.0,True,False,0.6390625
1,2025-01-28 09:17:06,2025-01-28 09:22:13,0.0,11.1,0.0,Unknown,142,48,0,5.93,0.0,0.5,0.0,0.0,1.0,10.68,0.0,0.0,0.75,9,2025-01-28,1,False,5.116666666666666,80.0,0.0,True,False,0.9621621621621622
1,2025-01-28 16:47:17,2025-01-28 16:57:32,0.0,39.0,0.0,Unknown,131,122,0,7.58,0.0,0.5,0.0,0.0,1.0,9.08,0.0,0.0,0.0,16,2025-01-28,1,False,10.25,80.0,0.0,True,False,0.23282051282051283
1,2025-01-29 06:30:25,2025-01-29 06:50:44,0.0,40.5,0.0,Unknown,98,213,0,33.12,0.0,0.5,0.0,6.94,1.0,41.56,0.0,0.0,0.0,6,2025-01-29,2,False,20.316666666666666,80.0,0.0,True,False,1.0261728395061729
1,2025-01-30 06:26:56,2025-01-30 06:39:36,0.0,28.5,0.0,Unknown,148,100,0,14.65,0.0,0.5,0.0,0.0,1.0,19.4,0.0,0.0,0.75,6,2025-01-30,3,False,12.666666666666666,80.0,0.0,True,False,0.6807017543859648
1,2025-01-31 05:25:31,2025-01-31 05:36:28,0.0,31.6,0.0,Unknown,239,230,0,11.35,0.0,0.5,0.0,0.0,1.0,16.1,0.0,0.0,0.75,5,2025-01-31,4,False,10.95,80.0,0.0,True,False,0.509493670886076
1,2025-01-31 11:13:18,2025-01-31 11:18:47,0.0,25.4,0.0,Unknown,140,229,0,13.71,0.0,0.5,0.0,0.0,1.0,18.46,0.0,0.0,0.75,11,2025-01-31,4,False,5.483333333333333,80.0,0.0,True,False,0.7267716535433072
1,2025-01-31 13:33:10,2025-01-31 13:39:16,0.0,15.2,0.0,Unknown,141,263,0,6.51,0.0,0.5,0.0,0.0,1.0,10.51,0.0,0.0,0.0,13,2025-01-31,4,False,6.1,80.0,0.0,True,False,0.6914473684210527
1,2025-01-31 13:53:54,2025-01-31 13:58:45,0.0,8.4,0.0,Unknown,237,236,0,7.03,0.0,0.5,0.0,0.0,1.0,11.03,0.0,0.0,0.0,13,2025-01-31,4,False,4.85,80.0,0.0,False,False,1.3130952380952379
2,2025-01-31 22:14:00,2025-01-31 22:27:00,0.0,24.26,0.0,Unknown,42,116,0,9.94,0.0,0.5,0.0,0.0,1.0,11.44,0.0,0.0,0.0,22,2025-01-31,4,False,13.0,80.0,0.0,True,False,0.471558120362737
