time_segment,distance_segment,avg_revenue,avg_tip,num_trips
Evening Rush,Long,42.2575,3.3711606667602156,32
Evening Rush,Medium,23.8775,2.7759983044693164,32
Evening Rush,Short,21.778125,6.879123674076909,32
Evening Rush,Very Short,34.559322033898304,7.304657807840197,59
Midday,Long,26.336031746031747,3.3755375133277794,63
Midday,Medium,23.752162162162165,2.934983342149466,37
Midday,Short,18.85098765432099,5.174294081757308,81
Midday,Very Short,32.39833333333333,5.158311244740949,102
Morning Rush,Long,30.417446808510636,1.0452686213178428,47
Morning Rush,Medium,34.575833333333335,2.46031746031746,12
Morning Rush,Short,31.119999999999997,5.479235794356038,18
Morning Rush,Very Short,49.26428571428571,6.093185706470811,35
Night,Long,36.005319148936174,2.742749684543452,47
Night,Medium,42.313720930232556,7.327899682521899,43
Night,Short,31.650545454545455,8.59492867885458,55
Night,Very Short,31.9625,7.327982433112064,64
